Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;3;0.78;0.50;0.27;IBk;no feature selection;Oversampling;22.00;33.00;289.00;96.00;0.40;0.19;0.68;0.10
BOOKKEEPER;4;0.83;0.50;0.32;IBk;no feature selection;Oversampling;87.00;66.00;237.00;56.00;0.57;0.61;0.75;0.38
BOOKKEEPER;5;0.86;0.50;0.32;IBk;no feature selection;Oversampling;78.00;68.00;240.00;66.00;0.53;0.54;0.73;0.32
BOOKKEEPER;6;0.83;0.50;0.08;IBk;no feature selection;Oversampling;30.00;193.00;443.00;23.00;0.13;0.57;0.64;0.11
BOOKKEEPER;7;0.87;0.50;0.04;IBk;no feature selection;Oversampling;19.00;74.00;589.00;11.00;0.20;0.63;0.81;0.26
BOOKKEEPER;8;0.90;0.50;0.07;IBk;no feature selection;Oversampling;20.00;68.00;582.00;26.00;0.23;0.43;0.66;0.23
BOOKKEEPER;9;0.96;0.50;0.09;IBk;no feature selection;Oversampling;18.00;57.00;251.00;11.00;0.24;0.62;0.69;0.25
MEAN;;;;;;;;39.00;80.00;340.78;39.44;0.33;0.52;0.70;0.23
;
BOOKKEEPER;1;0.33;0.50;0.22;IBk;no feature selection;Undersampling;38.00;61.00;174.00;28.00;0.38;0.58;0.65;0.27
BOOKKEEPER;2;0.39;0.50;0.18;IBk;no feature selection;Undersampling;45.00;116.00;246.00;32.00;0.28;0.58;0.65;0.18
BOOKKEEPER;3;0.50;0.50;0.27;IBk;no feature selection;Undersampling;64.00;122.00;200.00;54.00;0.34;0.54;0.61;0.14
BOOKKEEPER;4;0.60;0.50;0.32;IBk;no feature selection;Undersampling;98.00;81.00;222.00;45.00;0.55;0.69;0.73;0.39
BOOKKEEPER;5;0.68;0.50;0.32;IBk;no feature selection;Undersampling;93.00;89.00;219.00;51.00;0.51;0.65;0.70;0.33
BOOKKEEPER;6;0.64;0.50;0.08;IBk;no feature selection;Undersampling;33.00;218.00;418.00;20.00;0.13;0.62;0.64;0.10
BOOKKEEPER;7;0.66;0.50;0.04;IBk;no feature selection;Undersampling;18.00;89.00;574.00;12.00;0.17;0.60;0.80;0.21
BOOKKEEPER;8;0.67;0.50;0.07;IBk;no feature selection;Undersampling;28.00;97.00;553.00;18.00;0.22;0.61;0.77;0.26
BOOKKEEPER;9;0.82;0.50;0.09;IBk;no feature selection;Undersampling;19.00;77.00;231.00;10.00;0.20;0.66;0.72;0.20
MEAN;;;;;;;;48.44;105.56;315.22;30.00;0.31;0.61;0.70;0.23
;
BOOKKEEPER;1;0.53;0.50;0.22;IBk;no feature selection;Smote;30.00;44.00;191.00;36.00;0.41;0.45;0.68;0.26
BOOKKEEPER;2;0.65;0.50;0.18;IBk;no feature selection;Smote;45.00;111.00;251.00;32.00;0.29;0.58;0.67;0.20
BOOKKEEPER;3;0.78;0.50;0.27;IBk;no feature selection;Smote;47.00;109.00;213.00;71.00;0.30;0.40;0.58;0.05
