Progetto;#Training Release;%Training;%Buggy in training;%Buggy in test;Classifier;Feature selection;Sensitivity;Balancing;TP;FP;TN;FN;Precision;Recall;Area Under ROC;Kappa
BOOKKEEPER;2;0.55;0.26;0.18;Random Forest;Best First;sensitive learning;no resample;16.00;11.00;351.00;61.00;0.59;0.21;0.76;0.24
BOOKKEEPER;3;0.69;0.22;0.27;Random Forest;Best First;sensitive learning;no resample;7.00;1.00;321.00;111.00;0.88;0.06;0.81;0.08
BOOKKEEPER;4;0.76;0.24;0.46;Random Forest;Best First;sensitive learning;no resample;93.00;0.00;241.00;112.00;1.00;0.45;0.86;0.47
BOOKKEEPER;5;0.81;0.29;0.46;Random Forest;Best First;sensitive learning;no resample;176.00;2.00;242.00;32.00;0.99;0.85;0.99;0.85
BOOKKEEPER;6;0.77;0.32;0.10;Random Forest;Best First;sensitive learning;no resample;58.00;352.00;265.00;14.00;0.14;0.81;0.68;0.08
BOOKKEEPER;7;0.81;0.27;0.08;Random Forest;Best First;sensitive learning;no resample;0.00;13.00;627.00;53.00;0.00;0.00;0.00;0.00
BOOKKEEPER;8;0.84;0.24;0.09;Random Forest;Best First;sensitive learning;no resample;42.00;102.00;528.00;24.00;0.29;0.64;0.82;0.31
BOOKKEEPER;9;0.93;0.21;0.09;Random Forest;Best First;sensitive learning;no resample;0.00;0.00;308.00;29.00;0.00;0.00;0.00;0.00
MEAN;;;;;;;;45.44;53.78;346.11;53.89;0.53;0.36;0.63;0.26
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;Best First;no sensitive;Oversampling;25.00;25.00;210.00;41.00;0.50;0.38;0.67;0.30
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;Best First;no sensitive;Oversampling;36.00;60.00;302.00;41.00;0.38;0.47;0.72;0.28
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;Best First;no sensitive;Oversampling;27.00;27.00;295.00;91.00;0.50;0.23;0.79;0.18
BOOKKEEPER;4;0.83;0.50;0.46;Random Forest;Best First;no sensitive;Oversampling;135.00;5.00;236.00;70.00;0.96;0.66;0.86;0.65
BOOKKEEPER;5;0.85;0.50;0.46;Random Forest;Best First;no sensitive;Oversampling;185.00;3.00;241.00;23.00;0.98;0.89;0.98;0.88
BOOKKEEPER;6;0.82;0.50;0.10;Random Forest;Best First;no sensitive;Oversampling;57.00;342.00;275.00;15.00;0.14;0.79;0.68;0.08
BOOKKEEPER;7;0.86;0.50;0.08;Random Forest;Best First;no sensitive;Oversampling;5.00;92.00;548.00;48.00;0.05;0.09;0.66;-0.04
BOOKKEEPER;8;0.89;0.50;0.09;Random Forest;Best First;no sensitive;Oversampling;51.00;117.00;513.00;15.00;0.30;0.77;0.84;0.35
BOOKKEEPER;9;0.95;0.50;0.09;Random Forest;Best First;no sensitive;Oversampling;9.00;29.00;279.00;20.00;0.24;0.31;0.74;0.19
MEAN;;;;;;;;58.89;77.78;322.11;40.44;0.45;0.51;0.77;0.32
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;Best First;threshold;Oversampling;30.00;34.00;201.00;36.00;0.47;0.45;0.65;0.31
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;Best First;threshold;Oversampling;43.00;70.00;292.00;34.00;0.38;0.56;0.68;0.31
BOOKKEEPER;3;0.78;0.50;0.27;Random Forest;Best First;threshold;Oversampling;13.00;4.00;318.00;105.00;0.76;0.11;0.55;0.13
BOOKKEEPER;4;0.83;0.50;0.46;Random Forest;Best First;threshold;Oversampling;18.00;4.00;237.00;187.00;0.82;0.09;0.54;0.08
BOOKKEEPER;5;0.85;0.50;0.46;Random Forest;Best First;threshold;Oversampling;185.00;6.00;238.00;23.00;0.97;0.89;0.93;0.87
BOOKKEEPER;6;0.82;0.50;0.10;Random Forest;Best First;threshold;Oversampling;54.00;335.00;282.00;18.00;0.14;0.75;0.60;0.07
BOOKKEEPER;7;0.86;0.50;0.08;Random Forest;Best First;threshold;Oversampling;4.00;93.00;547.00;49.00;0.04;0.08;0.47;-0.05
BOOKKEEPER;8;0.89;0.50;0.09;Random Forest;Best First;threshold;Oversampling;38.00;99.00;531.00;28.00;0.28;0.58;0.71;0.28
BOOKKEEPER;9;0.95;0.50;0.09;Random Forest;Best First;threshold;Oversampling;2.00;9.00;299.00;27.00;0.18;0.07;0.52;0.06
MEAN;;;;;;;;43.00;72.67;327.22;56.33;0.45;0.40;0.63;0.23
;
BOOKKEEPER;1;0.53;0.50;0.22;Random Forest;Best First;sensitive learning;Oversampling;25.00;25.00;210.00;41.00;0.50;0.38;0.67;0.30
BOOKKEEPER;2;0.65;0.50;0.18;Random Forest;Best First;sensitive learning;Oversampling;36.00;60.00;302.00;41.00;0.38;0.47;0.72;0.28
